iter	Passed	Remaining
669	29290	14426
670	29336	14384
671	29377	14338
672	29416	14292
673	29452	14245
674	29487	14197
675	29523	14150
676	29561	14103
677	29598	14056
678	29646	14015
679	29689	13971
680	29748	13934
681	29783	13887
682	29840	13849
683	29885	13806
684	29923	13760
685	29960	13713
686	30003	13669
687	30039	13622
688	30077	13576
689	30111	13528
690	30149	13482
691	30187	13436
692	30220	13387
693	30256	13340
694	30297	13296
695	30343	13253
696	30388	13210
697	30439	13169
698	30484	13127
699	30531	13084
700	30572	13040
701	30624	13000
702	30675	12959
703	30739	12924
704	30791	12884
705	30831	12839
706	30873	12794
707	30928	12755
708	30974	12713
709	31026	12672
710	31064	12626
711	31104	12581
712	31145	12536
713	31186	12492
714	31225	12446
715	31273	12404
716	31336	12368
717	31393	12329
718	31426	12282
719	31471	12238
720	31510	12193
721	31561	12152
722	31600	12106
723	31647	12064
724	31694	12022
725	31731	11975
726	31768	11929
727	31805	11883
728	31841	11836
729	31876	11790
730	31915	11744
731	31958	11700
732	32003	11657
733	32038	11610
734	32080	11566
735	32122	11522
736	32179	11483
737	32220	11438
738	32262	11394
739	32304	11350
740	32347	11306
741	32387	11261
742	32431	11217
743	32478	11175
744	32531	11134
745	32572	11090
746	32608	11044
747	32650	10999
748	32699	10958
749	32752	10917
750	32795	10873
751	32830	10827
752	32871	10782
753	32936	10745
754	32981	10702
755	33020	10657
756	33068	10615
757	33108	10570
758	33152	10526
759	33191	10481
760	33226	10435
761	33258	10387
762	33294	10341
763	33334	10297
764	33369	10250
765	33406	10205
766	33447	10160
767	33487	10116
768	33520	10069
769	33552	10022
770	33594	9978
771	33627	9931
772	33666	9886
773	33701	9840
774	33742	9796
775	33776	9749
776	33814	9704
777	33868	9664
778	33915	9621
779	33954	9576
780	33991	9531
781	34038	9488
782	34081	9445
783	34124	9401
784	34162	9356
785	34206	9313
786	34246	9268
787	34282	9223
788	34321	9178
789	34361	9134
790	34403	9090
791	34453	9048
792	34508	9007
793	34549	8963
794	34596	8921
795	34630	8875
796	34678	8832
797	34724	8789
798	34773	8747
799	34821	8705
