iter	Passed	Remaining
675	27887	13366
676	27938	13329
677	27984	13290
678	28033	13252
679	28090	13219
680	28136	13179
681	28179	13139
682	28232	13103
683	28292	13070
684	28336	13030
685	28387	12993
686	28449	12961
687	28497	12923
688	28547	12885
689	28588	12843
690	28637	12806
691	28677	12763
692	28726	12725
693	28772	12686
694	28830	12652
695	28870	12610
696	28916	12570
697	28960	12530
698	28997	12486
699	29044	12447
700	29080	12403
701	29126	12364
702	29170	12323
703	29218	12285
704	29255	12241
705	29305	12203
706	29345	12161
707	29382	12118
708	29418	12074
709	29457	12032
710	29490	11986
711	29537	11947
712	29568	11902
713	29606	11859
714	29644	11816
715	29678	11772
716	29727	11733
717	29779	11695
718	29812	11651
719	29846	11606
720	29883	11563
721	29929	11524
722	29972	11483
723	30013	11441
724	30055	11400
725	30094	11358
726	30141	11318
727	30202	11284
728	30239	11241
729	30289	11202
730	30337	11163
731	30371	11119
732	30410	11077
733	30444	11032
734	30476	10988
735	30507	10942
736	30541	10898
737	30575	10854
738	30614	10812
739	30661	10772
740	30696	10729
741	30738	10688
742	30774	10644
743	30807	10600
744	30840	10556
745	30886	10516
746	30925	10473
747	30960	10430
748	31007	10390
749	31048	10349
750	31085	10306
751	31127	10265
752	31171	10224
753	31199	10179
754	31247	10139
755	31281	10096
756	31318	10053
757	31354	10010
758	31384	9965
759	31424	9923
760	31462	9881
761	31499	9838
762	31533	9794
763	31568	9751
764	31600	9707
765	31642	9666
766	31679	9623
767	31727	9584
768	31766	9542
769	31818	9504
770	31865	9464
771	31909	9423
772	31957	9384
773	32026	9351
774	32090	9316
775	32164	9284
776	32218	9246
777	32297	9215
778	32353	9178
779	32411	9141
780	32466	9104
781	32511	9063
782	32565	9025
783	32619	8987
784	32676	8949
785	32721	8908
786	32771	8869
787	32825	8831
788	32878	8792
789	32942	8756
790	33005	8720
791	33062	8683
792	33117	8644
793	33165	8604
794	33205	8562
795	33247	8520
796	33293	8479
797	33334	8438
798	33378	8396
799	33413	8353
800	33450	8310
801	33488	8267
802	33528	8225
803	33563	8182
804	33601	8139
805	33649	8099
806	33682	8055
807	33728	8014
808	33758	7970
809	33808	7930
810	33842	7886
811	33894	7847
812	33926	7803
813	33965	7761
814	33998	7717
815	34038	7675
816	34081	7633
817	34117	7591
818	34153	7548
819	34204	7508
820	34242	7465
821	34273	7421
822	34303	7377
823	34348	7336
824	34391	7295
825	34424	7251
826	34455	7207
827	34492	7165
828	34516	7119
829	34548	7076
830	34580	7032
831	34624	6991
832	34669	6950
833	34706	6907
834	34738	6864
835	34782	6823
836	34814	6779
837	34848	6736
838	34883	6694
839	34925	6652
840	34953	6608
841	34982	6564
842	35020	6522
843	35050	6478
844	35088	6436
845	35121	6393
846	35155	6350
847	35194	6308
848	35225	6265
849	35264	6223
850	35296	6180
851	35337	6138
852	35381	6097
853	35425	6056
854	35462	6014
855	35502	5972
856	35539	5930
857	35569	5886
858	35607	5844
859	35653	5804
860	35700	5763
861	35737	5721
862	35781	5680
863	35827	5639
864	35875	5599
865	35920	5558
866	35963	5516
867	36014	5476
868	36060	5436
869	36107	5395
870	36153	5354
871	36197	5313
872	36244	5272
873	36283	5230
874	36316	5188
875	36354	5146
876	36399	5105
877	36446	5064
878	36496	5023
879	36543	4983
880	36598	4943
881	36664	4905
882	36705	4863
883	36767	4824
884	36821	4784
885	36868	4743
886	36917	4703
887	36955	4661
888	37006	4620
889	37049	4579
890	37095	4538
891	37147	4497
892	37198	4457
893	37239	4415
894	37282	4373
895	37350	4335
896	37401	4294
897	37458	4254
898	37505	4213
899	37547	4171
900	37582	4129
901	37621	4087
902	37657	4045
903	37702	4003
904	37742	3961
905	37791	3920
906	37849	3880
907	37910	3841
908	37976	3801
909	38027	3760
910	38075	3719
911	38137	3679
912	38188	3638
913	38236	3597
914	38290	3557
915	38345	3516
916	38392	3474
917	38451	3434
918	38493	3392
919	38530	3350
920	38569	3308
921	38635	3268
922	38689	3227
923	38743	3186
924	38791	3145
925	38832	3103
926	38882	3061
927	38925	3020
928	38971	2978
929	39016	2936
930	39062	2895
931	39094	2852
932	39127	2809
933	39170	2767
934	39204	2725
935	39238	2682
936	39268	2640
937	39307	2598
938	39338	2555
939	39372	2513
940	39401	2470
941	39432	2427
942	39463	2385
943	39492	2342
944	39521	2300
945	39563	2258
946	39593	2215
947	39636	2174
948	39668	2131
949	39700	2089
950	39728	2047
951	39758	2004
952	39796	1962
953	39834	1920
954	39865	1878
955	39893	1836
956	39926	1793
957	39964	1752
958	40003	1710
959	40043	1668
960	40077	1626
961	40121	1584
962	40150	1542
963	40187	1500
964	40219	1458
965	40259	1417
966	40287	1374
967	40325	1333
968	40359	1291
969	40391	1249
970	40429	1207
971	40459	1165
972	40490	1123
973	40531	1081
974	40560	1040
975	40587	998
976	40621	956
977	40655	914
978	40692	872
979	40724	831
980	40756	789
981	40785	747
982	40815	705
983	40843	664
984	40874	622
985	40905	580
986	40934	539
987	40964	497
988	40995	455
989	41027	414
990	41063	372
991	41098	331
992	41128	289
993	41169	248
994	41197	207
995	41223	165
996	41264	124
997	41296	82
998	41340	41
999	41381	0
